Item ID,Description,G/L Account,Inventory Account,Quantity,Stocking Quantity,Unit Price,UPC / SKU,Weight,Cost of Sales Account,Cost of Sales Amount
PH-300-475,Christ in the Temple,Proceeds from Store Sales - 4401-606-00-1,,3,3,45.00,PH-300-475,0.06,,0.00
BOOK-400-000,Life at 400 Beacon Street by Heather Vogel Frederick,Proceeds from Store Sales - 4401-606-00-1,,534,534,40.00,BOOK-400-000,3.31,,0.00
JEWEL-100-090,Cross and Crown Pendants - Becky Thatcher,Proceeds from Store Sales - 4401-606-00-1,,4,4,125.00,JEWEL-100-090,0.03,,0.00
JEWEL-100-992,Sterling Silver Box Chain Necklaces,Proceeds from Store Sales - 4401-606-00-1,,5,5,38.44,JEWEL-100-992,0.03,,0.00
BOOK-500-002,Peter Henniker-Heaton: Man of Joy by Kim M. Schuette,Proceeds from Store Sales - 4401-606-00-1,,29,29,40.00,BOOK-500-002,1.2,,0.00
STA-100-199,Watercolor Historic House Notecard Sets,Proceeds from Store Sales - 4401-606-00-1,,67,67,30.00,STA-100-199,0.58,,0.00
GIFT-600-108,Musical Lamb,Proceeds from Store Sales - 4401-606-00-1,,44,44,55.00,GIFT-600-108,0.7,,0.00
BOOK-500-006,"HH - A Home for Spike, by Heather Vogel Frederick - Amesbury",Proceeds from Store Sales - 4401-606-00-1,,2,2,37.00,BOOK-500-006,1.07,,0.00
GIFT-700-968,All Natural Goat Milk Soap,Proceeds from Store Sales - 4401-606-00-1,,9,9,8.00,GIFT-700-968,0.2,,0.00
GIFT-500-009,Chestnut Hill Magnetic Floral Notepads,,,13,13,12.00,GIFT-500-009,0.2,,0.00
GIFT-500-004,Chestnut Hill Mini Notebooks,Proceeds from Store Sales - 4401-606-00-1,,34,34,12.00,GIFT-500-004,0.21,,0.00
GIFT-300-928,Kitchen Towels,Proceeds from Store Sales - 4401-606-00-1,,23,23,18.00,GIFT-300-928,0.26,,0.00
JEWEL-100-801,Cross and Crown Brooch Pin,Proceeds from Store Sales - 4401-606-00-1,,21,21,20.00,JEWEL-100-801,0,,0.00
GIFT-100-345A,Wrapped with Love Blanket,Proceeds from Store Sales - 4401-606-00-1,,4,4,50.00,GIFT-100-345A,0.62,,0.00
GIFT-400-730,Little Children's Prayer by Mary Baker Eddy,Proceeds from Store Sales - 4401-606-00-1,,22,22,27.00,GIFT-400-730,0.5,,0.00
GIFT-400-731,Big Children's Prayer by Mary Baker Eddy,Proceeds from Store Sales - 4401-606-00-1,,40,40,27.00,GIFT-400-731,0.5,,0.00
JEWEL-100-100,Cross and Crown Seal Pendants - Nikki Paulk,Proceeds from Store Sales - 4401-606-00-1,,9,9,115.00,JEWEL-100-100,0.04,,0.00
AUD-500-532,Life at 400 Beacon Street – Digital Audiobook Download,Proceeds from Store Sales - 4401-606-00-1,,0,0,28.00,AUD-500-532,0,,0.00
GIFT-300-001,Women's Fleece Vest,Proceeds from Store Sales - 4401-606-00-1,,5,5,46.00,GIFT-300-001,0.56,,0.00
HH-GIFT-900-105-CH,HH - Peace Ornament - CH,Proceeds from Store Sales - 4401-606-00-1,,3,3,20.00,HH-GIFT-900-105-CH,0.1,,0.00
GIFT-500-001,Chestnut Hill Coasters,Proceeds from Store Sales - 4401-606-00-1,,29,29,16.00,GIFT-500-001,0.23,,0.00
GIFT-100-007,Carpet Coasters,Proceeds from Store Sales - 4401-606-00-1,,5,5,15.00,GIFT-100-007,0.26,,0.00
BOOK-400-318,Paths of Pioneer Christian Scientists by Christopher L. Tyner,Proceeds from Store Sales - 4401-606-00-1,,745,745,24.00,BOOK-400-318,0.77,,0.00
BOOK-500-911,The Greatest Thing in the World by Henry Drummond,Proceeds from Store Sales - 4401-606-00-1,,505,505,16.00,BOOK-500-911,0.35,,0.00
BOOK-400-645,My Life Model by Carol Norton,Proceeds from Store Sales - 4401-606-00-1,,129,129,9.00,BOOK-400-645,0.06,,0.00
BOOK-400-103,A Precious Legacy: Christian Science Comes to Japan by Emi Abiko,Proceeds from Store Sales - 4401-606-00-1,,1506,1506,10.00,BOOK-400-103,0.49,,0.00
AUD-500-530,Follow and Rejoice -- Mary Baker Eddy: The Chestnut Hill Years,Proceeds from Store Sales - 4401-606-00-1,,974,974,25.00,AUD-500-530,0.21,,0.00
GIFT-400-109,Cross and Crown Stained-glass Suncatcher,Proceeds from Store Sales - 4401-606-00-1,,36,36,60.00,GIFT-400-109,0.5,,0.00
BOOK-400-104,Christian Science In Germany by Frances Thurber Seal,Proceeds from Store Sales - 4401-606-00-1,,570,570,9.00,BOOK-400-104,0.3,,0.00
BOOK-500-079,On the Way There by Katherine M. Yates,Proceeds from Store Sales - 4401-606-00-1,,213,213,19.00,BOOK-500-079,0.14,,0.00
BOOK-900-904,Subject Guide to Bible Stories,Proceeds from Store Sales - 4401-606-00-1,,3,3,27.00,BOOK-900-904,1.3,,0.00
BOOK-400-080,"Genesis of a Poem: Rosa Maud Turner's ""O Dreamer, Leave Thy Dreams for Joyful Waking"" by Peter J. Hodgson",Proceeds from Store Sales - 4401-606-00-1,,652,652,9.00,BOOK-400-080,0.17,,0.00
HH-PH-300-100-CH,HH - Rathvon Framed Quote - CHESTNUT HILL,Proceeds from Store Sales - 4401-606-00-1,,0,0,10.00,HH-PH-300-100-CH,0.7,,0.00
HH-JEWEL-100-800CH,HH - Cross and Crown Stained Glass Lapel Pin - Chestnut Hill,Proceeds from Store Sales - 4401-606-00-1,,2,2,7.00,HH-JEWEL-100-800CH,0,,0.00
PH-300-027,Sunset at Pleasant View,Proceeds from Store Sales - 4401-606-00-1,,77,77,4.00,PH-300-027,0.03,,0.00
STA-200-501,Wallpaper Pen,Proceeds from Store Sales - 4401-606-00-1,,79,79,8.00,STA-200-501,0,,0.00
PH-300-108,Rathvon Framed Quote,Proceeds from Store Sales - 4401-606-00-1,,17,17,10.00,PH-300-108,0.7,,0.00
STA-300-905,Artwork of 400 Beacon Street Notecards,Proceeds from Store Sales - 4401-606-00-1,,9,9,30.00,STA-300-905,0.58,,0.00
BOOK-300-725,"Christian Science Military Ministry, 1917-2004 by Kim M. Schuette",Proceeds from Store Sales - 4401-606-00-1,,18,18,47.00,BOOK-300-725,2.44,,0.00
JEWEL-100-341,Six-sided Cross and Crown Pendants,Proceeds from Store Sales - 4401-606-00-1,,2,2,195.00,JEWEL-100-341,0.2,,0.00
JEWEL-100-089,14k Gold Box Chain Necklaces,Proceeds from Store Sales - 4401-606-00-1,,1,1,530.00,JEWEL-100-089,0.2,,0.00
PH-100-702,God is Love Framed Cross-Stitch,Proceeds from Store Sales - 4401-606-00-1,,0,0,250.00,PH-100-702,1.23,,0.00
CHARGE-200-100,Gift Wrap,Proceeds from Store Sales - 4401-606-00-1,,0,0,5.00,CHARGE-200-100,0,,0.00
GIFT-100-102,(COPY) Framed “Brother Birds” Prints,Proceeds from Store Sales - 4401-606-00-1,,0,0,40.00,GIFT-100-102,0.16,,0.00
PH-100-965,Love - Matted Perforated Embroidery,Proceeds from Store Sales - 4401-606-00-1,,6,6,20.00,PH-100-965,0,,0.00
BOOK-100-364,King James Bible - Study Edition,Proceeds from Store Sales - 4401-606-00-1,,5,5,24.00,BOOK-100-364,1.55,,0.00
GIFT-400-734,Do Right and Fear Not Plaque,Proceeds from Store Sales - 4401-606-00-1,,10,10,40.00,GIFT-400-734,1.2,,0.00
HH-GIFT-600-005-CH,"HH-""Spike"" the Squirrel - Chestnut Hill",Proceeds from Store Sales - 4401-606-00-1,,9,9,20.00,HH-GIFT-600-005-CH,0,,0.00
HH-BOOK-300-145-CH,HH - Twelve Years with Mary Baker Eddy - Gently Used - Chestnut Hill,Proceeds from Store Sales - 4401-606-00-1,,4,4,12.00,HH-BOOK-300-145-CH,1.39,,0.00
HH-STA-300-905CH,HH - Artwork of 400 Beacon Street Notecards - Chestnut Hill,Proceeds from Store Sales - 4401-606-00-1,,5,5,30.00,HH-STA-300-905CH,0.03,,0.00
HH-GIFT-400-732-CH,HH- Home Plaque - Chestnut Hill,,,1,1,20.00,HH-GIFT-400-732-CH,0,,0.00
JEWEL-100-793,Cross and Crown Beaded Ring Pendants - Melissa Shipley,Proceeds from Store Sales - 4401-606-00-1,,1,1,823.00,JEWEL-100-793,0.03,,0.00
AUD-500-527,Who Shall Be Called? - The Pleasant View Household: Working and Watching,Proceeds from Store Sales - 4401-606-00-1,,99,99,25.00,AUD-500-527,0.2,,0.00
AUD-500-528,"The House on Broad Street: Finding A Faithful Few, The Years in Lynn",Proceeds from Store Sales - 4401-606-00-1,,109,109,25.00,AUD-500-528,0.23,,0.00
GIFT-900-104,Cross and Crown Acrylic Magnet,Proceeds from Store Sales - 4401-606-00-1,,57,57,10.00,GIFT-900-104,0.1,,0.00
GIFT-700-975,Longyear Candles,Proceeds from Store Sales - 4401-606-00-1,,6,6,24.00,GIFT-700-975,0.93,,0.00
GIFT-800-611,Artisanal Bookmarks,Proceeds from Store Sales - 4401-606-00-1,,102,102,13.00,GIFT-800-611,0.1,,0.00
HH-GIFT-800-611-CO,HH - Artisan Bookmark - Concord House Sales Only,,,5,5,13.00,HH-GIFT-800-611-CO,0,,0.00
TOUR-100-607,Concord Tours,Programs & Tours - 4350-000-00-1,,0,0,7.00,TOUR-100-607,0,,0.00
STA-100-323,Spike Notecard,Proceeds from Store Sales - 4401-606-00-1,,19,19,4.50,STA-100-323,0.03,,0.00
STA-100-098,(COPY) Sheep Matted Prints,Proceeds from Store Sales - 4401-606-00-1,,0,0,43.00,STA-100-098,0.16,,0.00
STA-101-306,Chestnut Hill Photo Notecards,Proceeds from Store Sales - 4401-606-00-1,,13,13,5.00,STA-101-306,0.03,,0.00
AUD-100-414,Christian Science in Germany - Audiobook,Proceeds from Store Sales - 4401-606-00-1,,30,30,22.00,AUD-100-414,0.2,,0.00
BOOK-300-104,Christian Science in East Germany: The Church that Came in from the Cold by Gregory Sandford,Proceeds from Store Sales - 4401-606-00-1,,6,6,15.00,BOOK-300-104,0.4,,0.00
JEWEL-100-800,Cross and Crown Stained Glass Lapel Pin,Proceeds from Store Sales - 4401-606-00-1,,15,15,7.00,JEWEL-100-800,0,,0.00
HH-GIFT-900-104CH,HH - Cross and Crown Acrylic Magnet - Chestnut Hill,Proceeds from Store Sales - 4401-606-00-1,,4,4,10.00,HH-GIFT-900-104CH,0.3,,0.00
GIFT-900-103,Cross and Crown Ornament,Proceeds from Store Sales - 4401-606-00-1,,14,14,20.00,GIFT-900-103,0.1,,0.00
GIFT-400-111,Cross and Crown Trinket Dish,Proceeds from Store Sales - 4401-606-00-1,,8,8,20.00,GIFT-400-111,0.25,,0.00
HH-BOOK-500-435CH,HH-A World More Bright: The Life of Mary Baker Eddy by Isabel Ferguson and Heather Vogel Frederick - Chestnut Hill,,,0,0,30.00,HH-BOOK-500-435CH,0,,0.00
BOOK-300-956,The History of Christianity by John C. Abbott,Proceeds from Store Sales - 4401-606-00-1,,4,4,50.00,BOOK-300-956,1.43,,0.00
BOOK-100-954,Notes on the Miracles of Our Lord by Richard Chenevix Trench,Proceeds from Store Sales - 4401-606-00-1,,3,3,40.00,BOOK-100-954,1.6,,0.00
BOOK-100-955,Notes on the Parables of Our Lord by Richard Chenevix Trench,Proceeds from Store Sales - 4401-606-00-1,,4,4,40.00,BOOK-100-955,0.9,,0.00
JEWEL-100-350,Cross and Crown Wreath Pendants,Proceeds from Store Sales - 4401-606-00-1,,4,4,195.00,JEWEL-100-350,0.03,,0.00
Gift-100-100,Gift Certificate - Redeem,Gift Certificate Issued - 2301-000-00-1,,0,0,0.00,Gift-100-100,0,,0.00
GIFT-600-110,Baby lamb,Proceeds from Store Sales - 4401-606-00-1,,19,19,14.00,GIFT-600-110,0.2,,0.00
GIFT-900-102,Glass Cross & Crown Paperweight,Proceeds from Store Sales - 4401-606-00-1,,18,18,26.00,GIFT-900-102,0.84,,0.00
BOOK-300-159,"We Knew Mary Baker Eddy, Expanded Edition, Volume II",Proceeds from Store Sales - 4401-606-00-1,,5,5,35.00,BOOK-300-159,2.19,,0.00
BOOK-500-005,"A Home for Spike, by Heather Vogel Frederick",Proceeds from Store Sales - 4401-606-00-1,,30,30,40.00,BOOK-500-005,1.7,,0.00
GIFT-800-601,Longyear Magnets,Proceeds from Store Sales - 4401-606-00-1,,18,18,3.00,GIFT-800-601,0.06,,0.00
GIFT-800-600,Longyear Magnetic Flashlight Keychain,Proceeds from Store Sales - 4401-606-00-1,,45,45,5.00,GIFT-800-600,0.06,,0.00
GIFT-900-100,Blest Christmas Morn Ornament,Proceeds from Store Sales - 4401-606-00-1,,29,29,20.00,GIFT-900-100,0.1,,0.00
GIFT-100-002,Longyear Museum Tumbler,Proceeds from Store Sales - 4401-606-00-1,,9,9,45.00,GIFT-100-002,1.2,,0.00
PH-300-101,Vintage Swan Photo with Bible Verse - Matted,Proceeds from Store Sales - 4401-606-00-1,,3,3,12.00,PH-300-101,0.1,,0.00
TOUR-100-604,"FRIDAY, MAY 31, 2024: 400 Beacon Street Special Annual Meeting Tour",Programs & Tours - 4350-000-00-1,,0,0,0.00,TOUR-100-604,0,,0.00
