Name,Tags,Tax 1: Title,Tax 1: Rate,Tax 1: Price,Tax 2: Title,Tax 2: Rate,Tax 2: Price,Tax 3: Title,Tax 3: Rate,Tax 3: Price,Tax: Total,Price: Total Shipping,Price: Total Refund,Price: Total,CASH ,CHARGE,GIFT CARD,STORE CREDIT,CHECK,Payment: Status,Order Fulfillment Status,Shipping: Zip,Shipping: City,Transaction: Kind,Transaction: Processed At,Transaction: Amount,Transaction: Gateway,Transaction: Payment Method
#81446,captured-2026-01-31,,,,,,,,,,0,0,,10.29,,,,,,paid,fulfilled,,,capture,2026-01-31 09:42:16 -0800,10.29,shopify_payments,card
#81447,captured-2026-01-31,California State Tax,0.06,3.57,Shasta County Tax,0.0025,0.14,Shasta Co Local Tax Sl,0.01,0.6,4.31,0,,63.61,,,,,,paid,fulfilled,,,capture,2026-01-31 09:46:01 -0800,63.61,shopify_payments,card
#81448,captured-2026-01-31,California State Tax,0.06,4.57,Shasta County Tax,0.0025,0.2,Shasta Co Local Tax Sl,0.01,0.8,5.57,0,,81.77,,,,,,paid,fulfilled,,,capture,2026-01-31 10:08:37 -0800,81.77,shopify_payments,card
#81451,captured-2026-01-31,,,,,,,,,,0,0,,10.29,,,,,,paid,fulfilled,,,capture,2026-01-31 10:35:00 -0800,10.29,shopify_payments,card
#81452,captured-2026-01-31,,,,,,,,,,0,0,,10.29,,,,,,paid,fulfilled,,,capture,2026-01-31 10:35:23 -0800,10.29,shopify_payments,card
#81454,captured-2026-01-31,California State Tax,0.06,5.4,Shasta County Tax,0.0025,0.22,Shasta Co Local Tax Sl,0.01,0.9,6.52,0,,96.49,,,,,,paid,fulfilled,,,capture,2026-01-31 10:40:56 -0800,96.49,shopify_payments,card
#81454,captured-2026-01-31,California State Tax,0.06,5.4,Shasta County Tax,0.0025,0.22,Shasta Co Local Tax Sl,0.01,0.9,6.52,0,96.49,,,,,,,refunded,fulfilled,,,refund,2026-01-31 10:41:05 -0800,-96.49,shopify_payments,card
#81453,captured-2026-01-31,California State Tax,0.06,9.77,Shasta County Tax,0.0025,0.4,Shasta Co Local Tax Sl,0.01,1.64,11.81,0,,174.5,,,,,,paid,fulfilled,,,capture,2026-01-31 10:43:14 -0800,174.5,shopify_payments,card
#81455,captured-2026-01-31,California State Tax,0.06,4.32,Shasta County Tax,0.0025,0.18,Shasta Co Local Tax Sl,0.01,0.72,5.22,0,,77.22,,,,,,paid,fulfilled,,,capture,2026-01-31 11:00:49 -0800,77.22,shopify_payments,card
#81456,captured-2026-01-31,California State Tax,0.06,0.77,Shasta County Tax,0.0025,0.03,Shasta Co Local Tax Sl,0.01,0.13,0.93,0,,24.12,,,,,,paid,fulfilled,,,capture,2026-01-31 11:21:20 -0800,24.12,shopify_payments,card
#81459,captured-2026-01-31,California State Tax,0.06,0.47,Shasta County Tax,0.0025,0.02,Shasta Co Local Tax Sl,0.01,0.08,0.57,0,,,8.47,,,,,paid,fulfilled,,,sale,2026-01-31 11:22:46 -0800,8.47,cash,
#81457,captured-2026-01-31,California State Tax,0.06,2.65,Shasta County Tax,0.0025,0.11,Shasta Co Local Tax Sl,0.01,0.43,3.19,0,,47.21,,,,,,paid,fulfilled,,,capture,2026-01-31 11:27:58 -0800,47.21,shopify_payments,card
#81460,captured-2026-01-31,California State Tax,0.06,0.78,Shasta County Tax,0.0025,0.03,Shasta Co Local Tax Sl,0.01,0.13,0.94,0,,,13.89,,,,,paid,fulfilled,,,sale,2026-01-31 11:28:59 -0800,13.89,cash,
#81461,captured-2026-01-31,California State Tax,0.06,1.12,Shasta County Tax,0.0025,0.04,Shasta Co Local Tax Sl,0.01,0.19,1.35,0,,,20.15,,,,,paid,fulfilled,,,sale,2026-01-31 11:31:08 -0800,20.15,cash,
#81458,captured-2026-01-31,California State Tax,0.06,5.38,Shasta County Tax,0.0025,0.23,Shasta Co Local Tax Sl,0.01,0.89,6.5,0,,95.9,,,,,,paid,fulfilled,,,capture,2026-01-31 11:34:57 -0800,95.9,shopify_payments,card
#81462,captured-2026-01-31,California State Tax,0.06,5.88,Shasta County Tax,0.0025,0.23,Shasta Co Local Tax Sl,0.01,0.98,7.09,0,,96.48,,,,,,paid,fulfilled,,,sale,2026-01-31 11:53:01 -0800,96.48,shopify_payments,card
#81463,captured-2026-01-31,California State Tax,0.06,7.78,Shasta County Tax,0.0025,0.33,Shasta Co Local Tax Sl,0.01,1.3,9.41,0,,139.09,,,,,,paid,fulfilled,,,capture,2026-01-31 12:12:30 -0800,139.09,shopify_payments,card
#81464,captured-2026-01-31,California State Tax,0.06,9.42,Shasta County Tax,0.0025,0.39,Shasta Co Local Tax Sl,0.01,1.59,11.4,0,,168.15,,,,,,paid,fulfilled,,,capture,2026-01-31 12:15:56 -0800,168.15,shopify_payments,card
#81462,captured-2026-01-31,California State Tax,0.06,5.88,Shasta County Tax,0.0025,0.23,Shasta Co Local Tax Sl,0.01,0.98,7.09,0,23.58,,,,,,,partially_refunded,fulfilled,,,refund,2026-01-31 12:30:10 -0800,-23.58,shopify_payments,card
#81466,captured-2026-01-31,California State Tax,0.06,5.9,Shasta County Tax,0.0025,0.24,Shasta Co Local Tax Sl,0.01,0.99,7.13,0,,,136.96,,,,,paid,fulfilled,,,sale,2026-01-31 12:52:09 -0800,136.96,cash,
#81467,captured-2026-01-31,,,,,,,,,,0,30,,411.43,,,,,,paid,fulfilled,59804,MISSOULA,sale,2026-01-31 12:54:02 -0800,411.43,shopify_payments,card
#81465,captured-2026-01-31,California State Tax,0.06,8.01,Shasta County Tax,0.0025,0.33,Shasta Co Local Tax Sl,0.01,1.34,9.68,0,,142.08,,,,,,paid,fulfilled,,,capture,2026-01-31 12:57:33 -0800,142.08,shopify_payments,card
#81468,captured-2026-01-31,California State Tax,0.06,10.02,Shasta County Tax,0.0025,0.41,Shasta Co Local Tax Sl,0.01,1.67,12.1,0,,178.78,,,,,,paid,fulfilled,,,capture,2026-01-31 13:10:38 -0800,178.78,shopify_payments,card
#81469,captured-2026-01-31,California State Tax,0.06,0.9,Shasta County Tax,0.0025,0.05,Shasta Co Local Tax Sl,0.01,0.14,1.09,0,,15.74,,,,,,paid,fulfilled,,,capture,2026-01-31 13:14:06 -0800,15.74,shopify_payments,card
#81472,captured-2026-01-31,California State Tax,0.06,1.68,Shasta County Tax,0.0025,0.07,Shasta Co Local Tax Sl,0.01,0.28,2.03,0,,,29.88,,,,,paid,fulfilled,,,sale,2026-01-31 13:26:38 -0800,29.88,cash,
#81474,captured-2026-01-31,California State Tax,0.06,13.8,Shasta County Tax,0.0025,0.57,Shasta Co Local Tax Sl,0.01,2.3,16.67,0,,246.66,,,,,,paid,fulfilled,,,capture,2026-01-31 13:48:13 -0800,246.66,shopify_payments,card
#81475,captured-2026-01-31,California State Tax,0.06,7.47,Shasta County Tax,0.0025,0.31,Shasta Co Local Tax Sl,0.01,1.26,9.04,0,,,133.49,,,,,paid,fulfilled,,,sale,2026-01-31 14:17:22 -0800,133.49,cash,
#81477,captured-2026-01-31,California State Tax,0.06,3.53,Shasta County Tax,0.0025,0.14,Shasta Co Local Tax Sl,0.01,0.59,4.26,0,,,,,50,,,paid,fulfilled,,,sale,2026-01-31 14:25:20 -0800,50,gift_card,
#81477,captured-2026-01-31,California State Tax,0.06,3.53,Shasta County Tax,0.0025,0.14,Shasta Co Local Tax Sl,0.01,0.59,4.26,0,,12.8,,,,,,paid,fulfilled,,,sale,2026-01-31 14:25:33 -0800,12.8,shopify_payments,card
#81476,captured-2026-01-31,California State Tax,0.06,11.21,Shasta County Tax,0.0025,0.46,Shasta Co Local Tax Sl,0.01,1.87,13.54,0,,200.18,,,,,,paid,fulfilled,,,capture,2026-01-31 14:37:34 -0800,200.18,shopify_payments,card
#81478,captured-2026-01-31,California State Tax,0.06,7.74,Shasta County Tax,0.0025,0.32,Shasta Co Local Tax Sl,0.01,1.29,9.35,0,,138.35,,,,,,paid,fulfilled,,,capture,2026-01-31 14:45:55 -0800,138.35,shopify_payments,card
#81479,captured-2026-01-31,California State Tax,0.06,32.59,Shasta County Tax,0.0025,1.36,Shasta Co Local Tax Sl,0.01,5.43,39.38,0,,582.53,,,,,,paid,fulfilled,,,capture,2026-01-31 14:56:03 -0800,582.53,shopify_payments,card
#81473,captured-2026-01-31,California State Tax,0.06,2.01,Shasta County Tax,0.0025,0.08,Willows City Tax,0.015,0.5,2.92,6.5,,42.84,,,,,,paid,fulfilled,95988,Willows,capture,2026-01-31 15:06:28 -0800,42.84,shopify_payments,card
#81480,captured-2026-01-31,California State Tax,0.06,1.76,Shasta County Tax,0.0025,0.08,Shasta Co Local Tax Sl,0.01,0.29,2.13,0,,31.38,,,,,,paid,fulfilled,,,capture,2026-01-31 15:08:35 -0800,31.38,shopify_payments,card
#81483,captured-2026-01-31,California State Tax,0.06,3.27,Shasta County Tax,0.0025,0.16,Shasta Co Local Tax Sl,0.01,0.57,4,0,,,58.35,,,,,paid,fulfilled,,,sale,2026-01-31 15:20:07 -0800,58.35,cash,
#81482,captured-2026-01-31,California State Tax,0.06,13.79,Shasta County Tax,0.0025,0.56,Shasta Co Local Tax Sl,0.01,2.31,16.66,0,,246.26,,,,,,paid,fulfilled,,,capture,2026-01-31 15:34:26 -0800,246.26,shopify_payments,card
#81484,captured-2026-01-31,California State Tax,0.06,2.46,Shasta County Tax,0.0025,0.1,Shasta Co Local Tax Sl,0.01,0.41,2.97,0,,43.87,,,,,,paid,fulfilled,,,capture,2026-01-31 15:38:21 -0800,43.87,shopify_payments,card
#81486,captured-2026-01-31,California State Tax,0.06,5.79,Shasta County Tax,0.0025,0.23,Shasta Co Local Tax Sl,0.01,0.98,7,0,,103.2,,,,,,paid,fulfilled,,,capture,2026-01-31 15:45:15 -0800,103.2,shopify_payments,card
#81488,captured-2026-02-01,California State Tax,0.06,1.34,Shasta County Tax,0.0025,0.06,Shasta Co Local Tax Sl,0.01,0.22,1.62,0,,23.92,,,,,,paid,fulfilled,,,capture,2026-01-31 16:00:41 -0800,23.92,shopify_payments,card
#81489,captured-2026-02-01,,,,,,,,,,0,0,,64.54,,,,,,paid,fulfilled,,,capture,2026-01-31 16:13:12 -0800,64.54,shopify_payments,card
#81490,captured-2026-02-01,California State Tax,0.06,1.61,Shasta County Tax,0.0025,0.07,Shasta Co Local Tax Sl,0.01,0.27,1.95,0,,28.94,,,,,,paid,fulfilled,,,capture,2026-01-31 16:17:09 -0800,28.94,shopify_payments,card
#81491,captured-2026-02-01,California State Tax,0.06,1.74,Shasta County Tax,0.0025,0.06,Shasta Co Local Tax Sl,0.01,0.29,2.09,0,,30.94,,,,,,paid,fulfilled,,,capture,2026-01-31 16:26:27 -0800,30.94,shopify_payments,card
#81492,captured-2026-02-01,California State Tax,0.06,0.36,Shasta County Tax,0.0025,0.01,Shasta Co Local Tax Sl,0.01,0.06,0.43,0,,81.21,,,,,,paid,fulfilled,,,capture,2026-01-31 16:40:13 -0800,81.21,shopify_payments,card
#81496,captured-2026-02-01,California State Tax,0.06,10.22,Shasta County Tax,0.0025,0.44,Marin County District Tax Sp,0.01,1.7,14.06,0,,184.11,,,,,,paid,fulfilled,94904,KENTFIELD,sale,2026-01-31 17:30:58 -0800,184.11,shopify_payments,card
#81495,captured-2026-02-01,California State Tax,0.06,2.22,Shasta County Tax,0.0025,0.09,Shasta Co Local Tax Sl,0.01,0.37,2.68,0,,39.58,,,,,,paid,fulfilled,,,capture,2026-01-31 17:33:30 -0800,39.58,shopify_payments,card
#81497,captured-2026-02-01,California State Tax,0.06,1.81,Shasta County Tax,0.0025,0.07,Shasta Co Local Tax Sl,0.01,0.31,2.19,0,,32.46,,,,,,paid,fulfilled,,,capture,2026-01-31 17:58:32 -0800,32.46,shopify_payments,card
,,,,,,,,,,,309.97999999999996,36.5,120.07,4537.029999999999,401.19000000000005,,50,,,,,,,,,,,
